Product_ID,Links,Title,Short_title,Price,Introducing,Date_Time,Description
24,https://www.bakingo.com/sites/default/files/styles/might_like/public/being-coffee-holic-cake0395chco-A.jpg?itok=KMEtHtGq,Being Coffee-holic,Coffee-Chocolate Cake,Rs. 649,Procaffeinating everyone with this mighty bliss is what you need to do right now!,2018-06-15 08:30:24.175309,"Covered from all equal sides, this coffee-chocolate decadency is sure to leave all coffee-cocoa lovers lovestruck. This chocolate cake dusted with love and coffee is embellished with ribbon curls and marbled decoration for the sweetest celebration ever. Order and delve everyone with each bite of this ambrosial party cake."
25,https://www.bakingo.com/sites/default/files/styles/might_like/public/round-shaped-vanilla-cake-2-cake0615vani-A.jpg?itok=RV4h7su7,Sprinkled Adventure,Round Shaped Vanilla Cake 2,Rs. 499,"A secret to merrier times, this perfect indulgent creation is worth a dime.",2018-06-15 08:30:24.175316,"Do you want to take them on an adventure beyond rainbows and high rise mountains? Of course, you can book a flight but here's a simple way to take them on a tour to heaven and make them delve in divine flavors with this rainbow sprinkled magnificence. While you take them on a ride to the world beyond, here's a juicy cherry with a chocolate crown, to make their journey more scrumptious one"
26,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-black-forest-vanilla-cake-A.jpg?itok=rxiPKYyc,Torrid Affair,Heart Shaped Black Forest Vanilla Cake,Rs. 699,The internet has a new obsession - Choco-Vanilla & it's time to slice into its spellbinding sweetness.,2018-06-15 08:30:24.175323,"The chocolate and vanilla blend beautifully in texture, yet pleasantly contrast in color and flavor. Watch your special ones relish with excitement when they experience the unforgettable taste of this rich and creamy three-layered cake. Beautifully finished into a heart-shape with chocolate shavings and cherries on one side and hand-crafted Red Rose on the other, is indeed, a Torrid Love Affair."
27,https://www.bakingo.com/sites/default/files/styles/might_like/public/round-shaped-vanilla-cake-1-cake0614vani-A.jpg?itok=wK3QvlCV,Headfull of Cream,Round Shaped Vanilla Cake 1,Rs. 499,You know what happens when vanilla takes a ride to the oven? You are left surprised and overwhelmed.,2018-06-15 08:30:24.175335,Simpler things always garner more love and appreciation not just because they are simple rather because they are rare and are one-of-a-kind. Such is this vanilla opulence that has not just filled pages of history with its flavorsome textures but also because it is a crowd-pleasing beauty that has won million hearts before and continue to reign the world with its flavor and creamy textures.
28,https://www.bakingo.com/sites/default/files/styles/might_like/public/round-shaped-vanilla-cake-3-cake0616vani-A.jpg?itok=XMEZcq5a,Merry Go Round,Round Shaped Vanilla Cake 3,Rs. 499,"When Life gives you moments to celebrate, you trade them with this flawless magnificence.",2018-06-15 08:30:24.175343,"Curled with whipped cream and fluffy vanilla sponge cake, this cake is ready to add some creamy dreamy layers of love and flavor to your celebrations. A whimsical creation crowned with cherries and chocolate temptations, can tickle the taste buds like never before and give you a perfect reason to bag all the love and appreciation."
29,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-chip-cake-A.jpg?itok=6xGGPqod,Choco Drizzle,Chocolate Chip Cake,Rs. 500,"A rich, creamy overload of Chocolate with loads of Choco chips to satisfy every chocoholic's desire!",2018-06-15 08:30:24.175350,"Bow down to the lusciously creamy overdose of chocolate! Made of three layers of mushy chocolate cake and topped with chocolate glaze along with whipped rich cream on its crown, each layer of this cake is filled with plentiful chocolate chips. This heavenly delicious treat will hit every chocoholics sweet spot!"
30,https://www.bakingo.com/sites/default/files/styles/might_like/public/tea-cake-cake0696chte-A.jpg?itok=sxkOV2kO,Tea Cake,Tea Time Thrill,Rs. 599,Happiness is having your favorite aromatic beverage in the form of this mouthwatering tea cake. Isn't it?,2018-06-15 08:30:24.175356,"Ever imagined you can have the flavors of tea in a cake? Well, our skilled bakers have come up with this three layered mushy cake enriched with tea. Yes, garnished with tea-flavored cream on the top and chocolate bars on the sides, this cake is sure to leave you mesmerized with its aromatic flavor."
31,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-vanilla-cake-2-cake0612hvan-A.jpg?itok=DEACJqZb,Pool Of Happiness,Heart Shaped Vanilla Cake 2,Rs. 699,It will be a dream come true when you'll woo them with a cake of cherry pool.,2018-06-15 08:30:24.175363,"Whether it's an anniversary or their birthday, you can always shower the season of Valentine anytime with this heart-shaped beauty. Infused with layers of love and Vanilla temptations, this scrumptious indulgent is the favorite pick of the year amongst lovebirds. Preciously crowned with love kissed cherries, this lusciousness is ready to set hearts racing with its beauty and fine flavors."
32,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-vanilla-cake-3-cake0613hvan-A.jpg?itok=igS2wrlL,Floral Fun,Heart Shaped Vanilla Cake 3,Rs. 699,You know what happens when love takes over? You go and find the perfect vanilla rush for them.,2018-06-15 08:30:24.175370,"Google is brimming with million ways to steal hearts of your loved ones and this one is topping the charts with its flavorsome vanilla temptations and its flawless heart-shaped beauty. And if you think that this is it, wait, this scrumptiousness is preciously wrapped with a fondant ribbon loop and a beauteous fondant rose.For someone special like your loved one, this indulgent pick is the only sure-shot way to reach out to their heart."
33,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-vanilla-cake-1-cake0611hvan-A.jpg?itok=k2ENTsz2,Vanilla Rush,Heart Shaped Vanilla Cake 1,Rs. 699,Falling short on words? Here's something really delicious and worth thousands of words.,2018-06-15 08:30:24.175377,"Love is a beautiful thing you'd ever come across in your life. And once you do, you would need an equivalent expression that would be as beautiful as the love of your life. A perfect flawless expression of love and beauty, this vanilla cake is specially baked in heart-shaped so as to heighten the pent-up emotions and feelings. Embellished with fondant mini hearts, this heart is perfect to for your soulmate."
