Product_ID,Links,Title,Short_title,Price,Introducing,Date_Time,Description
54,https://www.bakingo.com/sites/default/files/styles/might_like/public/mango-cake-A.jpg?itok=PUPFxAMg,Mango Magic,Mango Cake,Rs. 525,Why relish your favourite fruit just in summers when you can have it anytime of the year in this Ultimate Desert!,2018-06-15 08:30:24.175524,"Taste the terrific tropic mango cake with a zesty blend of mango and mushy rich cream. Made of three rich cream layers and mango fillings, this cake is a tantalizing treat. The crest that is frosted with white chocolate shavings offers mango glaze which is made from fresh mango pulp. So, next time when life gives you lemons, throw it back and say ""I said l wanted mango!"""
55,https://www.bakingo.com/sites/default/files/styles/might_like/public/cherry-bomb-cake0370blac-310118-A.jpg?itok=VxFk5lS5,Cherry Bomb,Black Forest Red Heart Cake,Rs. 549,Bake their heart faster with lashings of cherries and fondant heart so big that one bite would never be enough.,2018-06-15 08:30:24.175531,"Want to send something as unique as your Valentine? Well, here's one for you. Decorated with lashings of cherries and fondant, there's no other reason to put it directly in your cart. It's an ultimate delicious indulgence that can steal their heart instantly. Be thoughtful this Valentine's and shop to send black forest heart cake."
56,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-fondant-vanilla-cake-A.jpg?itok=H24nreYO,Snow Kissed,Heart Shaped Fondant Vanilla Cake,Rs. 799,We baked and created magic in every slice with this Fondant-Vanilla-Masterpiece!,2018-06-15 08:30:24.175538,"When emotions become hard to resist, delve into this gorgeously rich delicacy and experience 'LOVE'. Beautifully crafted into a heart-shape with Vanilla flavour, this three-layered cake is simply perfect! You can pick this eye-catching royal cake for all occasions from birthdays to weddings. This is a gorgeous white fondant cake with a beautiful rose accompanying it."
57,https://www.bakingo.com/sites/default/files/styles/might_like/public/simple-kiwi-cake-A.jpg?itok=wjUWG16J,Kiwi Ecstasy,Simple Kiwi Cake,Rs. 525,"Sweet Vanilla & Exotic Kiwi have come together in intensely whipped cream to make you go 'Wow.""",2018-06-15 08:30:24.175545,"Undoubtedly, a scrumptious delight, with glazing layer of exotic Kiwi Crush laden over freshly baked Vanilla Cake. There are three layers of sweet Vanilla cake smothered in Fresh Rich cream along with crushed kiwi in between. The crest of the cake is garnished with white chocolate flakes along with juicy kiwi slices and cherry, simply making it difficult to resist. Indeed, a perfect cake for Kiwi Lovers!"
58,https://www.bakingo.com/sites/default/files/styles/might_like/public/velvetilicious-bliss-cake0366redv-310118-A.jpg?itok=HgjQEucq,Velvetilicious Bliss,Red Velvet with 3 Fondant Heart Cake,Rs. 549,Keep up with the trending moreish cakes and feed your sweet tooth demon hidden inside you!,2018-06-15 08:30:24.175553,"Love red velvet? Let them delve into the mysterious flavors of the most popular cake in town. Crowned with hearts of love and flavor, that's how you are going to savor. Place your order to send a not just a cake but a heartilicious red velvet cake heart-crafted with love."
59,https://www.bakingo.com/sites/default/files/styles/might_like/public/strawberry-sensation-cake-A.jpg?itok=b_nGWuGW,Eternal Sweetness,Strawberry Sensation Cake,"Rs. 1,450",A tender cake so lusciously delicious that you would not stop dreaming about this multi-layered mushy ecstasy.,2018-06-15 08:30:24.175560,Let's call this cake a 'Perfect Mood Uplifter'. The richly whipped cream polished off with strawberry pulp is here to satiate your sweet tooth desires just the right way. This mushy strawberry cake has everything to let you escape into the World of Delight
60,https://www.bakingo.com/sites/default/files/styles/might_like/public/imploding-beauty-cake0371redv-310118-A.jpg?itok=YtUyaKXX,Imploding Beauty,Red Velvet with Fondant Heart Cake,Rs. 549,Can't wait to feed your sweet soul? Go ahead with a cake brimming with love so red.,2018-06-15 08:30:24.175567,"Gift your Valentine with a cupid-approved red velvet heart cake. A cake of sweet indulgence, it is sure to leave your Valentine lovestruck. Scintillating beauty, enticing flavors and dazzling fondant heart speak the delicious language of love to impress them in a single go. Shop to send red velvet heartilicious cake and mesmerize them to the core."
61,https://www.bakingo.com/sites/default/files/styles/might_like/public/strawberry-seduction-cake-A.jpg?itok=sjCCrD4-,Strawberry Seduction,Strawberry Cake,Rs. 450,Take a bite of this Blushing Pink Love and indulge yourself in the creamy contours of strawberry ecstasy!,2018-06-15 08:30:24.175574,"Cherish your love for strawberry with this three-layered rich cream Cake. Filled with mushy rich cream and crushed strawberry, and topped with luscious and syrupy cherries along with white and brown chocolate shavings, this cake is an ultimate delight!"
62,https://www.bakingo.com/sites/default/files/styles/might_like/public/royal-cherry-cake-A.jpg?itok=YmC8j56D,Cherry-Indulgence,Royal Cherry Cake,Rs. 650,"We kept this Classic simply unblemished, no twist, no turn, just as original as it can be - Soft & Mushy!",2018-06-15 08:30:24.175582,Savour the taste of bliss as you bite into this cake that enrobes the delightful flavours of juicy cherries and richly whipped cream. The mushy base of this flavoursome cake infuses bits of sweet and syrupy cherries and luscious cream that is sure to tempt your tastebuds.
63,https://www.bakingo.com/sites/default/files/styles/might_like/public/love-happiness-cake0369vani-310118-A.jpg?itok=Dnf4jnoV,Love Happiness,Vanilla Funfetti Cake,Rs. 499,You're gonna jump in joy in a single bite of this scrumptious cake full of fun.,2018-06-15 08:30:24.175588,"Send vanilla cake cloaked under the layers of fun. A simple cake like this is sure to sweep them off their feet. Embellished with the colorful palatable funfetti, this cake is an ultimate choice when you want hints of fun along with love. Shop to send a fun love cake this Valentine's."
64,https://www.bakingo.com/sites/default/files/styles/might_like/public/hearty-sweetness-cake0367vani-310118-A.jpg?itok=EdHOdMNR,Hearty Sweetness,Vanilla Fondant Cake,Rs. 499,Bow down to the fairest of all blushing with a delectable pounding heart so rich in flavor and taste.,2018-06-15 08:30:24.175596,"Your Valentine is going to fall in love with its very first bite when you surprise them with a delicious beauty pure and white. Prettier than any cake you ever ate, here's a vanilla decadence that they will finish and forget all the hate. Send online a vanilla fondant cake and surprise them straight away!"
65,https://www.bakingo.com/sites/default/files/styles/might_like/public/vanilla-strawberry-cake-A.jpg?itok=c9qkmRkk,Secret Confession,Heart Shaped Vanilla Strawberry Cake,Rs. 950,"As the ""Official Dessert of Romance"", this strawberry cake is truly a crowd-pleaser.",2018-06-15 08:30:24.175603,"Make way for the Heavens Exclusive Delicacy infused with luscious strawberry flavor and a dash of infatuation. This super love-filled cake with strawberry glaze and fondant rose is all that you need to make indelible expressions of love.Perfect for occasions like anniversary, Valentine's or your sweetheart's birthday, this cake is sure to please hearts and make memories cherishable."
66,https://www.bakingo.com/sites/default/files/styles/might_like/public/cherry-pool-cake0361blac-310118-A.jpg?itok=e7Kk6XnA,Cherry Pool,Black Forest with Heart Cake,Rs. 549,Delve into the sweetest symphony and experience the deliciousness infused with luxurious finesse.,2018-06-15 08:30:24.175610,"Get ahead and pre-plan a Valentine's sweetest toothsome gift they can relish till the very last bite. Drown them in the pool of chocolate and let your Valentine swim in the pool full of fondant hearts and cherries. Dripping with melting chocolate, make them feel loved like never before."
67,https://www.bakingo.com/sites/default/files/styles/might_like/public/eternal-berry-love-cake0368stra-310118-A.jpg?itok=TSBs_dYc,Eternal Berry Love,Choco hearts Strawberry Cake,Rs. 549,"With a decadent heartilicous cake like this, every month will definitely be February.",2018-06-15 08:30:24.175617,"Treat them so good this Valentine's that they forget all fights and fall in love in every bite! Dipped in the rich flavors of strawberry, mark the moment merry. Steal their heart all over again and send February love drenched in the love rain. Shop to send choco hearts strawberry cake now!"
68,https://www.bakingo.com/sites/default/files/styles/might_like/public/coffee-cake-A.jpg?itok=rKD6cVIC,Caffeine Blitz,Coffee Cake,Rs. 525,There is one more kind of love in this World - the love for Coffee. Feel it in this epic desert form!,2018-06-15 08:30:24.175624,"This is a perfect blend of love and addiction in the name of coffee. This three layered smooth and moist cake, made for all coffee-lovers is filled with extra rich coffee- flavoured cream. Garnished with brown and white chocolate flakes, along with rich Colombian coffee powder sprinkled at the sides, this cake justifies - they aren't just meant to celebrate occasions but life as well!"
69,https://www.bakingo.com/sites/default/files/styles/might_like/public/coffee-walnut-cake-A.jpg?itok=IK160LG6,Nutty Coffee Secret,Coffee Walnut Cake,Rs. 600,An overwhelming blend of chocolate cake and espresso-infused butter cream icing along with crunchy walnut.,2018-06-15 08:30:24.175631,"This is going to spellbind the coffee lovers with the unforgettable magical taste of the Classic Coffee Walnut. Prepared with three layers of Chocolate Cake and generous icing of intensely whipped Coffee in fresh cream and butter that gives an irresistible aroma of espresso, along with sprinkled crunchy walnuts is something we all adore!"
70,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shape-chocolate-cake-A.jpg?itok=EIxE3AJm,Exotic Affair,Heart Shaped Chocolate Cake,Rs. 950,Stay hooked to deliciousness of this heart-shaped Chocolate cake that'll add charm to your fete!,2018-06-15 08:30:24.175638,"A single bite of this cake is going to bind you with its captivating taste. Perfect for all occasions like Birthdays, Anniversaries, Valentine's etc, this gorgeously rich heart shaped chocolate cake graced with hand crafted rose fondant is the ultimate delight to savour! We bet this one is going to add undying memories to your occasion."
71,https://www.bakingo.com/sites/default/files/styles/might_like/public/mango-cheese-cake-A.jpg?itok=U3KUgoCk,Sunshine Poise,Mango Cheese Cake,Rs. 899,Satiate your summertime desires with this delicious mango cake that'll leave you with a sweet craving.,2018-06-15 08:30:24.175645,"""Do not forget to add this mango cake in your list of 'must-haves' this summer. The richly whipped moist cheese cake topped with mango pulp and fresh mango slices has everything to qualify as your """"Favourite Summer Cake."""" Well, not just this, be all set to be served this delicacy all year through and delight yourself!
Note: The mango slices used for garnishing depends on availability of the fruit"""
72,https://www.bakingo.com/sites/default/files/styles/might_like/public/pineaple-upside-down-cake-A.jpg?itok=6F0CL04w,Sun-kissed Joys,Pineapple Upside Down Cake,Rs. 950,This mushy cake baked with pineapple & cherries is a wholesome treat to surprise you with a unique flavor,2018-06-15 08:30:24.175652,Don't feel surprised by this sheer beauty seared fantastically to add a uniquely delicious taste to the cake. Moist cake topped with pineapple and maraschino cherries baked wholesomely is a new arrival in the town to turn all your celebrations into a happy one.
73,https://www.bakingo.com/sites/default/files/styles/might_like/public/irish-cream-cake-A.jpg?itok=B70apK1B,Irish Delight,Irish Coffee Cake,Rs. 499,Time for some Irish Shots! Savour the scrumptious taste of magnificently rich and intensely flavoured Irish cake!,2018-06-15 08:30:24.175659,"The heavenly flavoured Irish delight with triple layered rich cream cake is a heavenly dessert that no one would refuse to go along with! Loaded with intensely whipped rich Irish cream and excellently adorned with chocolate glaze, this cake is just perfect for office and family gatherings!"
